Januray,12,,,,,,,,,,,,,,,,,,,,,,,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,
,,,,,,,,,,,,,,,,,,,,,,,,,,764864,543412,,0,5710148,20417,369645,121316,,,,0,5710148,20417
,,,,,,,,,,,,,,,,,,,,,,,,,,762978,538282,,0,5689731,40155,368062,120161,,,,0,5689731,40155
,,,,,,,,,,,,,,,,,,,,,,,,,,759864,532223,,0,5649576,42210,365953,115942,,,,0,5649576,42210
,,,,,,,,,,,,,,,,,,,,,,,,,,756793,527359,,0,5607366,40899,361848,112940,,,,0,5607366,40899
,,,,,,,,,,,,,,,,,,,,,,,,,,753665,522087,,0,5566467,42252,360236,109490,,,,0,5566467,42252
,,,,,,,,,,,,,,,,,,,,,,,,,,750396,514861,,0,5524215,45845,359593,105095,,,,0,5524215,45845
,,,,,,,,,,,,,,,,,,,,,,,,,,746464,507499,,0,5478370,12815,358718,101788,,,,0,5478370,12815
,,,,,,,,,,,,,,,,,,,,,,,,,,745270,499518,,0,5465555,20343,356857,100665,,,,0,5465555,20343
,,,,,,,,,,,,,,,,,,,,,,,,,,743372,492921,,0,5445212,41073,356229,99677,,,,0,5445212,41073
,,,,,,,,,,,,,,,,,,,,,,,,,,739427,484880,,0,5404139,34918,353966,97302,,,,0,5404139,34918
,,,,,,,,,,,,,,,,,,,,,,,,,,736142,478752,,0,5369221,43190,351564,95481,,,,0,5369221,43190
,,,,,,,,,,,,,,,,,,,,,,,,,,732329,472421,,0,5326031,47103,348384,93184,,,,0,5326031,47103
,,,,,,,,,,,,,,,,,,,,,,,,,,728523,466550,,0,5278928,47183,346519,90830,,,,0,5278928,47183
,,,,,,,,,,,,,,,,,,,,,,,,,,724009,457182,,0,5231745,14670,344218,88467,,,,0,5231745,14670
,,,,,,,,,,,,,,,,,,,,,,,,,,722613,451776,,0,5217075,17988,344218,87509,,,,0,5217075,17988
,,,,,,,,,,,,,,,,,,,,,,,,,,720818,446030,,0,5199087,44017,342277,86627,,,,0,5199087,44017
,,,,,,,,,,,,,,,,,,,,,,,,,,716756,438825,,0,5155070,48584,338016,85045,,,,0,5155070,48584
,,,,,,,,,,,,,,,,,,,,,,,,,,712183,431960,,0,5106486,45900,335184,83528,,,,0,5106486,45900
,,,,,,,,,,,,,,,,,,,,,,,,,,707914,424685,,0,5060586,47293,333355,81646,,,,0,5060586,47293
,,,,,,,,,,,,,,,,,,,,,,,,,,703631,415903,,0,5013293,49414,326216,79761,,,,0,5013293,49414
,,,,,,,,,,,,,,,,,,,,,,,,,,698502,405817,,0,4963879,16322,322433,77664,,,,0,4963879,16322
,,,,,,,,,,,,,,,,,,,,,,,,,,696878,399572,,0,4947557,21703,318940,76956,,,,0,4947557,21703
,,,,,,,,,,,,,,,,,,,,,,,,,,694472,393266,,0,4925854,42194,318938,76263,,,,0,4925854,42194
,,,,,,,,,,,,,,,,,,,,,,,,,,689851,383717,,0,4883660,41171,312727,74905,,,,0,4883660,41171
,,,,,,,,,,,,,,,,,,,,,,,,,,685342,375760,,0,4842489,39346,302012,73513,,,,0,4842489,39346
,,,,,,,,,,,,,,,,,,,,,,,,,,681048,367354,,0,4803143,42595,299037,71941,,,,0,4803143,42595
